"R87";"R1206";"R1206";"160";"Top";"83.250";"66.610";"90.0"
"R88";"R1206";"R1206";"160";"Top";"80.750";"66.610";"90.0"
"R89";"R1206";"R1206";"160";"Top";"78.250";"66.610";"90.0"
"R90";"R1206";"R1206";"160";"Top";"81.540";"60.550";"90.0"
"R91";"R1206";"R1206";"160";"Top";"79.040";"60.550";"90.0"
"R92";"R1206";"R1206";"160";"Top";"76.540";"60.550";"90.0"
"R93";"R1206";"R1206";"1k";"Top";"11.750";"77.850";"0.0"
"R94";"R1206";"R1206";"1k";"Top";"99.450";"73.650";"0.0"
"R95";"R1206";"R1206";"1k";"Top";"99.450";"71.600";"0.0"
"R96";"R1206";"R1206";"1k";"Top";"103.850";"73.650";"0.0"
"R97";"R1206";"R1206";"1k";"Top";"103.850";"71.600";"0.0"
"R100";"R1206";"R1206";"270";"Top";"208.000";"69.500";"180.0"
"R102";"R1206";"R1206";"1k";"Top";"89.300";"21.550";"0.0"
"R104";"R0805";"R0805";"3k";"Top";"10.100";"33.950";"180.0"
"R105";"R0805";"R0805";"3k";"Top";"47.350";"20.700";"90.0"
"R106";"R0805";"R0805";"2k";"Top";"10.650";"31.500";"270.0"
"R107";"R1206";"R1206";"1k";"Top";"11.750";"75.750";"0.0"
"R108";"R0805";"R0805";"2k43";"Top";"16.850";"29.650";"270.0"
"R109";"R1206";"R1206";"15";"Top";"10.650";"39.050";"0.0"
"R110";"R1206";"R1206";"15";"Top";"16.400";"37.500";"270.0"
"R111";"R0805";"R0805";"910k";"Top";"13.000";"27.850";"180.0"
"R112";"R0805";"R0805";"2k";"Top";"13.000";"25.400";"90.0"
"R113";"R1206";"R1206";"1k";"Top";"11.750";"73.650";"0.0"
"R114";"R0805";"R0805";"10k";"Top";"166.550";"78.400";"270.0"
"R115";"R0805";"R0805";"10k";"Top";"173.800";"78.950";"0.0"
"R116";"R0805";"R0805";"150";"Top";"169.500";"74.300";"90.0"
"R117";"R0805";"R0805";"150";"Top";"184.250";"67.300";"180.0"
"R118";"R0805";"R0805";"10k";"Top";"177.450";"69.650";"0.0"
"R119";"R0805";"R0805";"10k";"Top";"185.400";"76.700";"270.0"
"R121";"R1206";"R1206";"270";"Top";"208.000";"67.400";"180.0"
"R122";"R0805";"R0805";"18k";"Top";"236.150";"45.400";"0.0"
"R123";"R0805";"R0805";"18k";"Top";"236.150";"47.100";"0.0"
"R124";"R0805";"R0805";"18k";"Top";"250.050";"50.950";"180.0"
"R125";"R1206";"R1206";"1k";"Top";"11.750";"71.550";"0.0"
"R126";"R1206";"R1206";"1k";"Top";"7.000";"78.350";"0.0"
"R127";"R1206";"R1206";"1k";"Top";"7.000";"76.250";"0.0"
"R128";"R1206";"R1206";"1k";"Top";"7.000";"74.150";"0.0"
"R129";"R1206";"R1206";"1k";"Top";"7.000";"72.050";"0.0"
"R130";"R1206";"R1206";"1k";"Top";"9.650";"68.100";"0.0"
"R131";"R1206";"R1206";"1k";"Top";"9.650";"63.900";"0.0"
"R132";"R1206";"R1206";"1k";"Top";"9.650";"61.800";"0.0"
"R133";"R1206";"R1206";"1k";"Top";"9.650";"66.000";"0.0"
"U1";"TQ2SA-5V";"TQ2SA-5V";"TQ2SA-5V";"Top";"42.300";"73.250";"180.0"
"U12";"REF195ES";"REF195ES";"REF195";"Top";"17.150";"55.450";"0.0"
"U13";"REF195ES";"REF195ES";"UCC28089";"Top";"164.150";"72.050";"0.0"
"VD1";"BAV99";"BAV99";"BAV99";"Top";"16.750";"72.550";"90.0"
"VD2";"BAV99";"BAV99";"BAV99";"Top";"22.150";"72.550";"90.0"
"VD3";"BAV99";"BAV99";"BAV99";"Top";"27.250";"72.600";"90.0"
"VD4";"DIODE 1206";"DIODE 1206";"DL4148";"Top";"32.550";"15.550";"90.0"
"VD5";"DIODE 1206";"DIODE 1206";"150";"Top";"34.750";"15.550";"90.0"
"VD6";"BAV99";"BAV99";"BAV99";"Top";"32.550";"72.650";"90.0"
"VD7";"BAV99";"BAV99";"BAV99";"Top";"39.850";"63.950";"270.0"
"VD9";"BAV99";"BAV99";"BAV99";"Top";"48.350";"56.750";"90.0"
"VD10";"BAV99";"BAV99";"BAV99";"Top";"79.000";"12.300";"270.0"
"VD11";"DIODE 1206";"DIODE 1206";"DLL4148";"Top";"177.600";"77.300";"90.0"
"VD12";"DIODE 1206";"DIODE 1206";"DLL4148";"Top";"171.600";"75.250";"270.0"
"VD13";"DIODE 1206";"DIODE 1206";"DLL4148";"Top";"181.750";"78.950";"180.0"
"VD14";"DIODE 1206";"DIODE 1206";"DLL4148";"Top";"180.000";"73.350";"0.0"
"VP1";"N-CHANNEL";"N-CHANNEL";"IRLML2060";"Top";"174.750";"76.250";"270.0"
"VP2";"N-CHANNEL";"N-CHANNEL";"IRLML2060";"Top";"180.500";"76.150";"0.0"
"VP3";"N-CHANNEL";"N-CHANNEL";"IRLML2060";"Top";"173.250";"70.750";"270.0"
"VP4";"N-CHANNEL";"N-CHANNEL";"IRLML2060";"Top";"184.200";"71.600";"0.0"
"VT1";"BC847";"BC847";"BC847";"Top";"93.450";"40.300";"180.0"
"VT2";"BC857";"BC857";"BC857";"Top";"96.600";"40.300";"0.0"
"VT3";"BC857";"BC857";"MMBT2907";"Top";"13.600";"36.900";"90.0"
"VT4";"BC847";"BC847";"BC847";"Top";"169.250";"78.400";"270.0"
"VT5";"BC847";"BC847";"BC847";"Top";"180.700";"70.450";"0.0"
"ZD5";"BZX84";"BZX84";"BZX84";"Top";"88.150";"12.050";"270.0"
