"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R37","RES_0805","300.5mm","214.75mm","300.5mm","214.75mm","300.5mm","213.75mm","T","90.00","0"
"R17","RES_0805","300.5mm","211.25mm","300.5mm","211.25mm","300.5mm","210.25mm","T","90.00","0"
"R7","RES_0805","298.5mm","211.25mm","298.5mm","211.25mm","298.5mm","210.25mm","T","90.00","0"
"VD2","SOD123_DIODE","295.75mm","225.5mm","295.75mm","225.5mm","297.55mm","225.5mm","T","180.00","MBR0520"
"VD3","SOT-23","282.75mm","229.75mm","282.75mm","229.75mm","283.7mm","230.75mm","T","180.00","BZX84_13V"
"VD4","SOT-23","281.25mm","233mm","281.25mm","233mm","282.2mm","234mm","T","180.00","BZX84_2V7"
"VT1","SOT-23","295mm","228mm","295mm","228mm","294mm","228.95mm","T","270.00","BC857"
"R18","RES_0805","302.5mm","211.25mm","302.5mm","211.25mm","302.5mm","210.25mm","T","90.00","0"
"R43","RES_0805","302.5mm","214.75mm","302.5mm","214.75mm","302.5mm","213.75mm","T","90.00","0"
"","ANTRAX_STRING","0mm","0mm","192.4151mm","276.5835mm","0mm","0mm","T","90.00","AntraxStr"
"","ANTRAX_STRING","0mm","0mm","190.0191mm","276.5835mm","0mm","0mm","T","90.00","AntraxStr"
"","ANTRAX_LOGO","0mm","0mm","210mm","157.5mm","0mm","0mm","T","0.00","AntraxLogo"
"","ANTRAX_LOGO","0mm","0mm","232.5mm","157.5mm","0mm","0mm","B","180.00","AntraxLogo"
"DA9_Ch_U1","MCP4011","254.58mm","256.195mm","254.6mm","256.2mm","256.7mm","255.22mm","T","90.00","MCP4011"
"S2","DTS-32","192.8mm","193.8mm","192.8mm","193.8mm","192.8mm","190.3mm","T","90.00","Button"

